The	AT the AT-TL the
Of	IN of IN-HL of
course	NN course
1600	CD 1600
famous	JJ famous
easy	JJ easy
begins	VBZ begin
block	NN block VB block
seven-stories	JJ seven - story
Great	JJ great
chapters	NNS chapter
recorded	VBN record VBD record
169	CD 169
thousand	CD thousand
watch	VB watch NN watch
5000	CD 5000
suffragettes	NNS suffragette
1920	CD 1920
presidential	JJ presidential
Seats	NNS-HL seat
square	NN-HL square NN square
marching	VBG march
soldiers	NNS soldier
War	NN-TL war
Between	IN-TL between
returning	VBG return
1865	CD 1865
Archives	NNS-TL archive
valuable	JJ valuable
records	NNS record
Also	RB also
located	VBN locate
Edgar	NP edgar
Hoover	NP hoover
presides	VBZ preside
Street	NN street NN-TL-HL street NN-TL street
car	NN car NN-HL car
tracks	NNS track
center	NN center
powered	VBN powered
spectators	NNS spectator
occupying	VBG occupy
vantage	NN vantage
bordering	VBG border
Lafayette	NP-TL lafayette
Square	NN-TL square
opposite	IN opposite JJ opposite
statues	NNS statue
Andrew	NP andrew
hero	NN hero
Battle	NN-TL battle
Moving	VBG move
viewing	VBG view
40	CD 40 CD-TL 40
16,000	CD 16,000
branches	NNS branch
Division	NN division NN-TL division
academies	NNS academy
include	VB include
representations	NNS representation
respective	JJ respective
Johnson	NP johnson
Then	RB then
admission	NN admission
union	NN union
headed	VBN head VBD head
Marines	NNS-TL marine
Navy	NN-TL navy
Force	NN-TL force
Guard	NN-TL guard
reserve	NN reserve
Puerto	NP puerto
Rico	NP rico
Virgin	NN-TL virgin
Islands	NNS-TL island
Guam	NP guam
Samoa	NP-TL samoa
trust	NN trust
territories	NNS territory
Canal	NN-TL canal
Zone	NN-TL zone
Miss.	NP-HL miss. NP miss.
governmental	JJ governmental
developments	NNS development
Mississippi	NP mississippi
observing	VBG observe
scene	NN scene
script	NN script
gazing	VBG gaze
largely	RB largely QL largely
unpredictability	NN unpredictability
operates	VBZ operate
helm	NN helm
Ross	NP ross
Barnett	NP barnett
surrounded	VBN surround
keeps	VBZ keep
foes	NNS foe
guessing	VBG guess
friends	NNS friend
Consequently	RB consequently
Could	MD-HL could
scramble	NN-HL scramble NN scramble
predict	VB predict
settle	VB settle
iron	VB iron NN iron
rough	JJ rough
edges	NNS edge
builtin	JJ builtin
headache	NN headache
steady	JJ steady
stream	NN stream
job-seekers	NNS job - seeker
commitments	NNS commitment
eight-year	JJ eight - year
quest	NN quest
decide	VB decide
throw	VB throw NN throw
Certainly	RB certainly
nobody	PN nobody
lawmakers	NNS lawmaker
enjoy	VB enjoy
re-enactment	NN re - enactment
strange	JJ strange
honeymoon	NN honeymoon VB honeymoon
doesn't	DOZ* do n't
decade	NN decade
odds	NNS odd
Districts	NNS-HL district
restless	JJ restless
companionship	NN companionship
$22.50	NNS $ 22.50
diem	NN diem
agitating	VBG agitate
withstand	VB withstand
sensitive	JJ sensitive
cutting	VBG cut
seat	NN seat
With	IN with
eyes	NNS eye
focused	VBN focus
Delta	NP delta
Congressman	NN-TL congressman
Smith	NP smith NP-TL smith
redistricting	VBG redistricting
longstanding	JJ longstanding
Mississippi's	NP$ mississippi 's
crossroads	NNS crossroad
Split	VBN split
badly	RB badly
equally	RB equally
divided	VBN divide
camps	NNS camp
loyalists	NNS loyalist
independents	NNS independent
currently	RB currently
wreck	NN wreck
Future	NN-HL future
clouded	VBN-HL clouded VBN clouded
titular	JJ titular
reestablish	VB reestablish
loyalist	NN loyalist
ranks	NNS rank VBZ rank
bypass	VB bypass
functionary	NN functionary
patronage	NN patronage
normally	RB normally
flow	VB flow NN flow
solidarity	NN solidarity
picture	NN picture
US	NN us
Sens.	NNS-TL sens .
Eastland	NP eastland
Stennis	NP stennis
remained	VBD remain VBN remain
loyal	JJ loyal
Reports	NNS report
probable	JJ probable
stripped	VBN strip
flows	VBZ flow
Baton	NP-HL baton
Rouge	NP-HL rouge
La.	NP-HL la. NP la.
Jimmie	NP jimmie
theme	NN theme
peace	NN peace
harmony	NN harmony
severe	JJ severe
stresses	NNS stress
segregation	NN segregation
troublesome	JJ troublesome
vexing	VBG vex
finances	NNS finance
transition	NN transition
hike	VB hike
revenues	NNS revenue
dedicated	VBN dedicated
tardiness	NN tardiness
dedication	NN dedication
suspect	VB suspect
related	VBN related VBD related
directly	RB directly
shortage	NN shortage
cash	NN cash VB cash
weary	JJ-HL weary JJ weary
Indeed	QLP indeed RB indeed
administration's	NN$ administration 's
curious	JJ curious
contributing	VBG contribute
defeat	NN defeat
$28	NNS $ 28
grant-in-aid	NN grant - in - aid
effectiveness	NN effectiveness
clearing	VBG clear NN clear
inconsistencies	NNS inconsistency
play	VB play NN play
determining	VBG determine
muster	VB muster
reconvenes	VBZ reconvene
normalcy	NN normalcy
hands	NNS hand
integration	NN integration
terminate	VB terminate
toss	VB toss NN toss
towel	NN towel
anyway	RB anyway
frustrated	VBN frustrated
so-far	RB so - far
losing	VBG lose
token	JJ token
sort	NN sort
politicos	NNS politico
acknowledge	VB acknowledge
convey	VB convey
notion	NN notion
though	CS though RB though
ineffectual	JJ ineffectual
Underlying	VBG-HL underlie
Passage	NN passage
continued	VBD continue VBN continue
extra	JJ extra
unlikely	JJ unlikely
conclusion	NN conclusion
purposes	NNS purpose
perfect	JJ perfect
consonance	NN consonance
acute	JJ acute
interesting	JJ interesting
dilemma	NN dilemma
Since	CS since IN since
constitution	NN constitution
forbids	VBZ forbid
introduction	NN introduction
expenses	NNS expense
inflate	VB inflate
Constant	JJ-HL constant
stab	NN stab
raiser	NN raiser
prospect	NN prospect
spending	VBG spend NN spend
unpleasant	JJ unpleasant
avoid	VB avoid
alternatives	NNS alternative
blocked	VBN block
trim	VB trim
arouse	VB arouse
squeezed	VBN squeeze
trims	NNS trim
exert	VB exert
receptive	JJ receptive
constant	JJ constant
confronting	VBG confront
tried	VBN try VBD try
economize	VB economize
Any	DTI any
revive	VB revive
allegations	NNS allegation
followers	NNS follower
affiliations	NNS affiliation
imprudently	RB imprudently
house-cleaning	NN house - cleaning
depending	IN depend
combat	VB combat
Alexander	NP alexander
Hemphill	NP hemphill
bids	NNS bid NNS-HL bid
Frankford	NP-TL frankford
Elevated	VBN-TL elevate
rigged	VBN rig
contracting	VBG contract
Estimates	NNS estimate
city's	NN$ city 's
loss	NN loss
$344,000	NNS $ 344,000
ranged	VBN range VBD range
$200,000	NNS $ 200,000
Shortcuts	NNS-HL shortcut
unnoticed	JJ-HL unnoticed
Steel	NN-TL steel
Erection	NN-TL erection
contracted	VBD contract
impossibly	QL impossibly
legitimate	JJ legitimate
competing	VBG compete
contractors	NNS contractor
shortcuts	NNS shortcut
Controller's	NN$-TL controller 's
rigging	VBG rig
disclosures	NNS disclosure
sued	VBN sue
$172,400	NNS $ 172,400
covering	VBG cover
contract	NN contract
Philadelphia	NP-TL philadelphia NP philadelphia NP-HL philadelphia
Transportation	NN-TL transportation
investigating	VBG investigate
played	VBD play VBN play VBD-HL play
reviewing	VBG review
signature	NN signature
Harold	NP harold
Varani	NP varani
architecture	NN architecture
engineering	NN engineering
Property	NN-TL property
appeared	VBD appear VBN appear
vouchers	NNS voucher
certifying	VBG certify
fired	VBN fire VBD fire
charges	NNS charge VBZ charge
accepting	VBG accept
contractor	NN contractor
Managing	VBG-TL manage
Director	NN-TL director
Donald	NP donald
cooperate	VB cooperate
sharp	JJ sharp
disagreement	NN disagreement
sue	VB sue VB-HL sue
recovery	NN recovery
Berger	NP berger
morning	NN morning
PTC	NN ptc
Concern	NN-HL concern
bankrupt	JJ-HL bankrupt JJ bankrupt
Consolidated	VBN-TL consolidate
Industries	NNS-TL industry
Inc.	VBN-TL inc.
3646	CD 3646
2d	OD-TL 2d OD 2d
reorganization	NN reorganization
bankruptcy	NN bankruptcy
directors	NNS director
draw	VB draw
Business	NN business
Crumlish	NP crumlish
Intervenes	VBZ-HL intervene
Common	JJ-TL common
Pleas	NNS-TL plea
bonding	VBG bonding
Travelers	NNS-TL traveler
Indemnity	NN-TL indemnity
Continental	JJ-TL continental
Casualty	NN-TL casualty
Berger's	NP$ berger 's
intervened	VBD intervene
preliminary	JJ preliminary
filing	VBG file
claim	NN claim VB claim
violated	VBN violate VBD violate
violations	NNS violation
involve	VB involve
expansion	NN expansion
joints	NNS joint
overhauling	NN overhaul
102	CD 102
75	CD 75
repaired	VBN repair
Wide	JJ-HL wide
repairs	NNS repair
$500	NNS $ 500
Belanger	NP belanger
Sons	NNS-TL son
Cambridge	NP cambridge
$600	NNS $ 600
$2400	NNS $ 2400
$3100	NNS $ 3100
$37,500	NNS $ 37,500
won't	MD* wo n't
Can't	MD* ca n't
headline	NN headline
Hooked	VBN hook
$172,000	NNS $ 172,000
Douglas	NP douglas
Pratt	NP pratt NP-TL pratt
transit	NN transit
Certain	JJ certain
Samuel	NP samuel
Goodis	NP goodis
objected	VBD object
occupancy	NN occupancy
rates	NNS rate
hotels	NNS hotel
48	CD 48 CD-TL 48
percent	NN percent
objection	NN objection
Council's	NN$-TL council 's
Finance	NN-TL finance
1000	CD 1000
rooms	NNS room
$5000	NNS $ 5000
Testifies	VBZ-HL testify
testimony	NN testimony
wide	JJ wide RB wide
raise	VB raise NN raise
$740,000	NNS $ 740,000
$2,330,000	NNS $ 2,330,000
rooming	VBG room
houses	NNS house
multi-family	JJ multi - family
dwellings	NNS dwelling
$5	NNS $ 5
$2	NNS $ 2
renewal	NN renewal
$1	NN $ 1
single	JJ single AP single NN single
account	VB account NN-HL account NN account
95	CD 95 CD-TL 95
accomodations	NNS accomodation
apartment	NN apartment
$457,000	NNS $ 457,000
Leonard	NP leonard
Kaplan	NP kaplan
Home	NN-TL home NR home NP home
Builders	NNS-TL builder
behalf	NN behalf
association	NN association
dog	NN dog
drew	VBD draw
Councilwoman	NN-TL councilwoman
Virginia	NP virginia
Knauer	NP knauer
formerly	RB formerly
pedigreed	JJ pedigreed
dogs	NNS dog
males	NNS male
females	NNS female
flat	JJ flat NN flat
replies	VBZ-HL reply
owners	NNS owner
penalized	VBN penalize
animal	NN animal
Deputy	JJ-TL deputy
Leary	NP leary
spends	VBZ spend
$115,000	NNS $ 115,000
annually	RB annually
regulate	VB regulate
collects	VBZ collect
$43,000	NNS $ 43,000
$67,000	NNS $ 67,000
S.P.C.A.	NP-TL s.p.c.a.
$15,000	NNS $ 15,000
catchers	NNS catcher
bites	NNS bite
Backs	VBZ-HL back
McConnell	NP mcconnell
indorsed	VBD indorsed
adequately	RB adequately
compensated	VBN compensate
schedule	NN schedule
Licenses	NNS-TL license
Inspections	NNS-TL inspection
Barnet	NP barnet
Lieberman	NP lieberman
Eugene	NP eugene
Gillis	NP gillis
Petitions	NNS petition
Norristown	NP norristown
Julian	NP julian
Barnard	NP barnard
Montgomery	NP-TL montgomery
Horace	NP horace
Davenport	NP davenport
widow	NN widow
killed	VBN kill VBD kill
Barnard's	NP$ barnard 's
hit-run	JJ hit - run
Dannehower	NP dannehower
pleaded	VBD plead
manslaughter	NN manslaughter
fined	VBN fine
Warren	NP warren NP-TL warren
K.	NP k. NP-TL k.
Hess	NP hess
years'	NNS$ year '
probation	NN probation
drive	VB drive NN drive
driving	VBG drive NN drive
sentence	NN sentence
pronounced	VBN pronounce
Victim	NN victim
accident	NN accident
Lee	NP lee NP-HL lee
Stansbery	NP stansbery
39	CD 39
reprimanded	VBN reprimand
violating	VBG violate
Planning	VBG-TL plan
agreements	NNS agreement
redevelopers	NNS redeveloper
Redevelopment	NN-TL redevelopment
$300,000,000	NNS $ 300,000,000
Eastwick	NP-TL eastwick NP eastwick
Area	NN-TL area
hazards	NNS hazard
pedestrians	NNS pedestrian
Corp.	NN-TL corp.
1311	CD 1311
acre	NN acre
tract	NN tract
$12,192,865	NNS $ 12,192,865
bounded	VBN bound
Dicks	NP-TL dick
61st	OD-TL 61st
parks	NNS-HL park NNS park
designated	VBN designate
Stage	NN-TL stage
Residential	JJ-TL residential JJ residential
Authority's	NN$-TL authority 's
master	JJS master
feature	VB feature NN feature
row	NN row
garden	NN garden
apartments	NNS apartment
churches	NNS church
clusters	NNS cluster
corporation	NN corporation
formed	VBN form
Reynolds	NP reynolds
Metal	NN-TL metal
builder	NN builder
second	OD second NN second QL second
520-acre	JJ 520 - acre
west	NR west
builders	NNS builder
developing	VBG develop
Would	MD-HL would
bar	VB-HL bar
Constantinos	NP constantinos
Doxiadis	NP doxiadi
Reconstruction	NN-TL reconstruction
Greece	NP greece
planner	NN planner
sectors	NNS sector
barred	VBN bar
vehicular	JJ vehicular
landscaped	VBN landscape
walkways	NNS walkway
esplanade	NN esplanade
entire	JJ entire
two-and-a-half-mile	JJ two - and - a - half - mile
length	NN length
eliminates	VBZ eliminate
Grovers	NP-TL grover
ran	VBD run
pedestrian	NN pedestrian
bridges	NNS bridge
Kansas	NP-HL kansas NP kansas NP-TL kansas
Mo.	NP-HL mo. NP mo.
UPI	NP-HL upi NP upi
International	JJ-TL international
Fighters	NNS-TL fighter
severly	QL severly
injured	VBN injure VBD injure
bomb	NN bomb
tore	VBD tear
apart	RB apart
Battalion	NN-TL battalion
Stanton	NP stanton
Gladden	NP gladden
42	CD 42
figure	NN figure VB figure
representation	NN representation
fighters	NNS fighter
teamsters	NNS teamster NNS-HL teamster
suffered	VBD suffer VBN suffer
multiple	JJ multiple
fractures	NNS fracture
ankles	NNS ankle
Baptist	NP-TL baptist NP baptist
Memorial	JJ-TL memorial
Ignition	NN-HL ignition
sets	VBZ-HL set
blast	NN-HL blast NN blast VB blast
battalion	NN battalion
driveway	NN driveway
I'd	PPSS+HVD i 'd PPSS+MD i 'd
ignition	NN ignition
flash	NN flash NN-HL flash VB flash
lying	VBG lie
Gladden's	NP$ gladden 's
sons	NNS son
younger	JJR young
boy	NN boy NN-HL boy
knocked	VBD knock VBN knock
bed	NN bed
wall	NN wall
Hood	NN-HL hood NP-TL hood
flies	VBZ-HL fly NNS fly
hood	NN hood
flying	VBG fly
roof	NN roof
front	NN front
wheel	NN wheel
landed	VBD land
away	RB away
laboratory	NN laboratory
explosive	JJ explosive
device	NN device
containing	VBG contain
TNT	NN tnt
nitroglycerine	NN nitroglycerine
car's	NN$ car 's
starter	NN starter
target	NN target
threatening	VBG threaten
torn	VBN tear
dissension	NN dissension
Led	VBD-HL lead
outspoken	JJ outspoken
critic	NN critic
union's	NN$ union 's
began	VBD begin
organizing	VBG organize
firemen	NNS fireman
reward	NN reward VB reward
bombing	NN bombing
association's	NN$ association 's
Kas.	NP kas .
guards	NNS guard
Mining	NP mining
Shiflett	NP shiflett
secretary-treasurer	NN secretary - treasurer
active	JJ active
Ankara	NP-HL ankara
Turkey	NP-HL turkey NP turkey
Oct.	NP-HL oct. NP oct.
AP	NP-HL ap NP ap
Turkish	JJ turkish
bowed	VBD bow
emergency	NN emergency
Cemal	NP cemal
Gursel	NP gursel
contested	VBD contest VBN contest
indecisive	JJ indecisive
15	CD 15 CD-HL 15
bargaining	NN bargaining
threat	NN threat
army	NN army
coup	FW-NN coup
d'etat	FW-IN+NN d'etat
By-passing	VBG by - pass
junta	NN junta
overthrow	NN overthrow
Adnan	NP adnan
Menderes	NP mendere
Cedvet	NP cedvet
Sunay	NP sunay
deadline	NN deadline
join	VB join
threatened	VBD threaten
protocol	NN protocol
agreeing	VBG agree
demanded	VBN demand VBD demand
pledges	NNS pledge
pardoned	VBN pardon
satisfied	VBN satisfied
stated	VBD state
solution	NN solution
created	VBN create
Vincent	NP vincent
Ierulli	NP ierulli
temporary	JJ temporary
Desmond	NP desmond
Connall	NP connall
29	CD 29
practicing	VBG practice NN practice
Portland	NP portland NP-TL portland
graduate	NN graduate
Northwestern	JJ-TL northwestern
Law	NN-TL law
father	NN father
Helping	VBG help
structure	NN structure
aiding	VBG aid
economically	RB economically
World	NN-TL world
Multnomah	NP-TL multnomah NP multnomah
350	CD 350
paths	NNS path
identical	JJ identical
congenial	JJ congenial
ours	PP$$ ours
adding	VBG add
develop	VB develop
society	NN society
ritiuality	NN ritiuality
loyalty	NN loyalty
Patience	NN-HL patience
Insuring	VBG insure
detriment	NN detriment
Germany	NP-TL germany NP germany
rebel	VB rebel NN rebel
patience	NN patience
century	NN century
By	IN by
doors	NNS door
gives	VBZ give
peoples	NNS people
compare	VB compare
Individual	JJ-HL individual
reason	NN reason
fear	VB fear VB-HL fear
extraordinarily	RB extraordinarily
Economically	RB economically
helping	VBG help
Private	JJ private
absorb	VB absorb
exported	VBN export
goods	NNS good
products	NNS product
total	NN total VB total
towards	IN towards
Portland's	NP$ portland 's
advice	NN advice
coordination	NN coordination
plea	NN plea
Ralph	NP ralph
Molvar	NP molvar
1409	CD 1409
SW	NN sw NN-TL sw
Maplecrest	NP maplecrest
thought	VBD think VBN think
cooperating	VBG cooperate
Mears	NP mears
strictly	RB strictly
Melvin	NP melvin
Barnes	NP barnes
waiting	VBG wait
sure	JJ sure
whatever	WDT whatever
fruitful	JJ fruitful
Los	NP los NP-TL los
Angeles	NP angeles NP-TL angeles
send	VB send
disaster	NN disaster
Nobody	PN nobody
evacuate	VB evacuate
everybody	PN everybody
voice	NN voice
reiterating	VBG reiterate
her	PP$ her PPO her
please	VB please
faith	NN faith
somebody	PN somebody
wouldn't	MD* would n't
everyone	PN everyone
rush	VB rush NN rush
evacuation	NN evacuation
lots	NNS lot
realistic	JJ realistic
Jack	NP jack
Lowe's	NP$ lowe 's
instructed	VBN instruct
Salem	NP-HL salem NP salem
statewide	JJ statewide
mothers	NNS mother
greeting	NN greet
Mark	NP mark
Hatfield	NP hatfield
reception	NN reception
capitol	NN capitol
noon	NN noon
Emerald	NN-TL emerald
Empire	NN-TL empire
Kiwanis	NP-TL kiwanis
speak	VB speak
Willamette	NP-TL willamette
swearing	NN swear
Bryson	NP bryson
Circuit	NN-TL circuit NN circuit
Washington-Oregon	NP washington - oregon
game	NN game
Beaverton	NP-TL beaverton NP beaverton
No.	NN-TL no .
examined	VBD examine
blueprints	NNS blueprint
specifications	NNS specification
workshop	NN workshop
$3.5	NNS $ 3.5
900-student	JJ 900 - student
6-3-3	CD 6 - 3 - 3
8-4	CD 8 - 4
advisory	NN advisory
$581,000	NNS $ 581,000
elementary	JJ elementary
Masonic	JJ-TL masonic
Temple	NN-TL temple NP temple
$25-a-plate	NN $ 25 - a - plate
dinner	NN dinner
honoring	VBG honor
organized	VBN organize VBD organize
p.m.	RB p.m.
Roosevelt	NP roosevelt
4:30	CD 4:30
Blaine	NP blaine
Whipple	NP whipple
Oregon	NP oregon NP-TL oregon
speakers	NNS speaker
fund-raising	NN fund - raising
Edith	NP edith
Al	NP al FW-AT-HL al
Ullman	NP ullman
Norman	NP norman
Nilsen	NP nilsen
Terry	NP terry
Schrunk	NP schrunk
Oak	NN-TL-HL oak NN-TL oak
Grove	NN-TL-HL grove NP grove NN-TL grove
Lodge	NN-TL lodge NP lodge
Water	NN-TL water
Dec.	NP dec.
a.m.	RB a.m.
Polls	NNS poll
Incumbent	JJ incumbent
